"","site_code","factor","microsite_number","rep","lat","long","pendant_ID","shrub_density","abundance","richness","evenness","mean_ambient_temp","mean_rh","mean_ground_temp"
"1","Cuyama_1","Mimic",1,1,34.84834,-119.48487,18002,11,1,1,0,21.9233333333333,31.2166666666667,25.5666666666667
"2","Cuyama_1","Mimic",2,2,34.84832,-119.48498,18255,14,2,2,0.693147180559945,20.96,37.0633333333333,26.3
"3","Cuyama_1","Mimic",3,3,34.84843,-119.48494,18227,12,26,4,0.692421156697187,22.26,36.8133333333333,36.2333333333333
"4","Cuyama_1","Mimic",4,4,34.84846,-119.48508,NA,8,30,6,1.12678366040218,21.6133333333333,37.1966666666667,33.8666666666667
"5","Cuyama_1","Mimic",5,5,34.84846,-119.48523,NA,9,15,5,0.949593667716738,22.39,37.22,21.8333333333333
"6","Cuyama_1","Open",2,7,34.84831,-119.48496,17421,13,5,3,0.950270539233235,22.7,37.0633333333333,36.6
"7","Cuyama_1","Open",3,8,34.84844,-119.48496,NA,12,5,4,1.33217904021012,23.0466666666667,37.2,33.2666666666667
"8","Cuyama_1","Open",4,9,34.84849,-119.48506,NA,10,77,6,0.781074125053552,22.2866666666667,37.5733333333333,30.1333333333333
"9","Cuyama_1","Open",5,10,34.84846,-119.48524,NA,10,2,1,0,22.13,37.7566666666667,28.6666666666667
"10","Cuyama_1","Open",7,12,34.84838,-119.48517,NA,9,1,1,0,21.89,39.3033333333333,34.6333333333333
"11","Cuyama_1","Open",8,13,34.84834,-119.48523,NA,12,4,3,1.03972077083992,22.3833333333333,38.3966666666667,22.8333333333333
"12","Cuyama_1","Shrub",1,14,34.84859,-119.48523,17440,5,1,1,0,21.2166666666667,38.9166666666667,22.7
"13","Cuyama_1","Shrub",2,15,34.84835,-119.48512,17393,10,1,1,0,22.5266666666667,39.7633333333333,18.2
"14","Cuyama_1","Shrub",3,16,34.8483,-119.48525,18245,12,1,1,0,22.0366666666667,37.1666666666667,27.3
"15","Cuyama_3","Mimic",1,17,34.93843,-119.48165,18229,10,6,3,0.867563228481461,21.5433333333333,37.6466666666667,28.6666666666667
"16","Cuyama_3","Mimic",2,18,34.93851,-119.48161,16079,22,6,3,1.01140426470735,20.5466666666667,35.66,35.1
"17","Cuyama_3","Mimic",3,19,34.93857,-119.48163,17434,30,2,1,0,22.78,34.54,35.6
"18","Cuyama_3","Mimic",4,20,34.93858,-119.4817,NA,26,24,4,0.983087758574785,23.0166666666667,32.8533333333333,39.0333333333333
"19","Cuyama_3","Mimic",5,21,34.93859,-119.48179,NA,28,8,4,1.07354284640852,22.55,32.43,38.3
"20","Cuyama_3","Open",1,22,34.93845,-119.48161,16078,16,3,2,0.636514168294813,20.3233333333333,37.53,31.8666666666667
"21","Cuyama_3","Open",2,23,34.9385,-119.4816,18251,22,6,2,0.450561208866305,20.8566666666667,35.37,38.2666666666667
"22","Cuyama_3","Open",3,24,34.93855,-119.48161,18235,28,3,2,0.636514168294813,23.0633333333333,34.38,35.4666666666667
"23","Cuyama_3","Open",4,25,34.93858,-119.48172,NA,28,2,2,0.693147180559945,22.3133333333333,32.7366666666667,36.0333333333333
"24","Cuyama_3","Open",6,27,34.93856,-119.48175,NA,28,3,2,0.636514168294813,22.6066666666667,32.8066666666667,35.4
"25","Cuyama_3","Open",8,29,34.93848,-119.48185,NA,12,1,1,0,23.7866666666667,31.4066666666667,28.4
"26","Cuyama_3","Shrub",1,30,34.93854,-119.48173,16008,24,8,4,1.2130075659799,22.26,32.36,23.6333333333333
"27","Cuyama_3","Shrub",3,32,34.93849,-119.48181,18022,18,8,1,0,23.2366666666667,31.64,24.9333333333333
"28","Soda_Lake_Open","Mimic",1,33,35.05618,-119.60009,16051,0,60,5,1.3809565413711,19.8966666666667,43.7966666666667,34.9666666666667
"29","Soda_Lake_Open","Mimic",2,34,35.05617,-119.60018,17414,0,24,5,0.894750481832498,20.4766666666667,41.1533333333333,37.3666666666667
"30","Soda_Lake_Open","Mimic",3,35,35.05627,-119.60017,17997,0,308,7,1.04515287609587,20.0466666666667,39.7,34.1333333333333
"31","Soda_Lake_Open","Mimic",4,36,35.05628,-119.60025,NA,0,279,7,0.916350275452908,21.6866666666667,39,36.5333333333333
"32","Soda_Lake_Open","Mimic",5,37,35.05637,-119.6003,NA,0,120,4,0.64469516087669,22.4166666666667,38.43,37.3333333333333
"33","Soda_Lake_Open","Open",1,38,35.05621,-119.60006,18004,0,9,2,0.348832095843032,22.2233333333333,38.81,33.9333333333333
"34","Soda_Lake_Open","Open",2,39,35.05619,-119.60015,15402,0,10,2,0.325082973391448,22.0866666666667,37.2633333333333,34.3666666666667
"35","Soda_Lake_Open","Open",3,40,35.05626,-119.60014,17417,0,67,5,0.843219859191616,21.93,39.1733333333333,35.4
"36","Soda_Lake_Open","Open",4,41,35.05631,-119.60027,NA,0,95,6,0.578648338595102,22.13,38.6433333333333,37.7
"37","Soda_Lake_Open","Open",5,42,35.05635,-119.6003,NA,0,22,2,0.474139313057837,22.2566666666667,40.3,32.6666666666667
"38","Soda_Lake_Shrub","Mimic",1,43,35.07093,-119.6497,18204,8,35,8,1.63197523243984,25.7566666666667,34.02,32.7
"39","Soda_Lake_Shrub","Mimic",2,44,35.07099,-119.6497,15913,5,21,5,1.20357509925009,27.8566666666667,28.9633333333333,41.7666666666667
"40","Soda_Lake_Shrub","Mimic",3,45,35.07099,-119.6498,17398,7,40,5,0.791702272555688,26.0166666666667,32.9066666666667,42.9
"41","Soda_Lake_Shrub","Mimic",4,46,35.07106,-119.6498,NA,3,39,2,0.119246926396245,27.29,32.52,35.2333333333333
"42","Soda_Lake_Shrub","Mimic",5,47,35.07107,-119.64972,NA,1,22,3,0.48510450039094,24.63,35.31,35.6
"43","Soda_Lake_Shrub","Open",1,48,35.07093,-119.64968,18210,8,267,6,0.731271464158669,25.81,35.7166666666667,35.6066666666667
"44","Soda_Lake_Shrub","Open",2,49,35.07096,-119.64967,18240,6,10,4,1.19354960409813,27.3066666666667,34.4933333333333,40.5333333333333
"45","Soda_Lake_Shrub","Open",3,50,35.07101,-119.64981,18024,6,3,1,0,23.7466666666667,34.2033333333333,38.2666666666667
"46","Soda_Lake_Shrub","Open",4,51,35.07108,-119.6498,NA,1,2,1,0,25.1,34.0366666666667,42.8333333333333
"47","Soda_Lake_Shrub","Open",5,52,35.0711,-119.64973,NA,0,17,4,0.659872013784827,24.5733333333333,36.7033333333333,38.9733333333333
"48","Soda_Lake_Shrub","Open",6,53,35.07096,-119.64979,NA,8,18,1,0,24.7933333333333,34.2466666666667,40.7
"49","Soda_Lake_Shrub","Open",7,54,35.07095,-119.64988,NA,8,137,4,0.250557930464438,25.9466666666667,29.7,35.4
"50","Soda_Lake_Shrub","Open",8,55,35.07095,-119.64995,NA,10,17,5,1.3745691971891,24.03,38.5133333333333,41.0666666666667
"51","Soda_Lake_Shrub","Shrub",1,56,35.07092,-119.64978,17991,9,81,6,0.65524272187811,25.4433333333333,33.76,21.8333333333333
"52","Soda_Lake_Shrub","Shrub",2,57,35.07091,-119.64986,16035,10,120,6,0.481154014295589,24.4866666666667,33.4166666666667,22.2
"53","Soda_Lake_Shrub","Shrub",3,58,35.07091,-119.64998,17422,11,17,2,0.223718076065834,23.5066666666667,34.8666666666667,24.3
